,Median,Mean,Std,Q1,Q3,IQR,No. of Obs,CI Lower,CI Upper
1 NSE Cal,0.79,0.7636756756756756,0.16684291581771926,0.65,0.9,0.25,37,0.69,0.84
2 R2 Cal,0.855,0.8214705882352941,0.12012953495847913,0.7324999999999999,0.9075,0.17500000000000004,34,0.8,0.88
3 pBIAS Cal,-5.104,-6.6036,10.726303967350542,-10.344,0.85,11.193999999999999,5,-22.9,4.48
4 RSR Cal,0.025,0.28983333333333333,0.4595710862677648,0.0245,0.42275,0.39825,3,0.024,0.8205
5 KGE Cal,0.635,0.635,0.09192388155425117,0.6024999999999999,0.6675,0.06500000000000006,2,0.57,0.7
6 NSE Cal,0.67,0.6537010581984126,0.21447798676719432,0.57,0.78,0.21000000000000008,126,0.63,0.71
7 R2 Cal,0.72,0.7096406926363636,0.15292554246617898,0.66,0.79,0.13,77,0.7,0.74
8 pBIAS Cal,-0.365,-1.2148148147777778,13.803538889002654,-7.88125,7.725,15.60625,90,-2.7,1.975
9 RSR Cal,0.535,0.5437857142857142,0.10187950658711427,0.4875,0.61,0.1225,28,0.505,0.58
10 KGE Cal,0.775,0.775,0.021213203435596444,0.7675000000000001,0.7825,0.014999999999999902,2,0.76,0.79
11 NSE Cal,0.76,0.719002923973684,0.21115002097490107,0.64,0.84,0.19999999999999996,114,0.715,0.7967499998374998
12 R2 Cal,0.84,0.8168019323623189,0.10484016107602881,0.77,0.9,0.13,69,0.81,0.88
13 pBIAS Cal,-2.19,-0.8051162790697672,12.81470210290977,-9.34,7.4275,16.7675,86,-5.25,-0.03500000000000003
14 RSR Cal,0.56,0.4992536232173913,0.20028233770183262,0.43,0.645,0.21500000000000002,23,0.46,0.62
15 KGE Cal,0.6799999999999999,0.67,0.05099019513592784,0.6525000000000001,0.6975,0.04499999999999993,4,0.6,0.72
16 NSE Cal for conc,0.545,0.41111111111111115,0.690429439159076,0.47,0.65,0.18000000000000005,18,0.47,0.64
17 R2 Cal for conc,0.59,0.575,0.241301037039194,0.4375,0.725,0.2875,22,0.49,0.71
18 pBIAS Cal for conc,,,,,,,0,,
19 RSR Cal for conc,,,,,,,0,,
20 KGE Cal for conc,0.14500000000000002,0.14500000000000002,0.41719300090006306,-0.0025000000000000022,0.2925,0.295,2,-0.15,0.44
21 NSE Cal for load,0.4365,0.4025,0.2637757886286508,0.2325,0.6065,0.374,4,0.09,0.647
22 R2 Cal for load,0.5,0.525,0.16360521589077368,0.395,0.63,0.235,4,0.38,0.72
23 pBIAS Cal for load,-12.392,-12.392,35.020170445044954,-24.7735,-0.010500000000000398,24.762999999999998,2,-37.155,12.371
24 RSR Cal for load,0.0985,0.0985,0.004949747468305827,0.09675,0.10024999999999999,0.0034999999999999892,2,0.095,0.102
25 KGE Cal for load,0.32,0.32,0.028284271247461926,0.31,0.33,0.020000000000000018,2,0.3,0.34
26 NSE Cal for yield,0.53,0.4983333333333333,0.23155272977589073,0.3325,0.585,0.25249999999999995,6,0.245,0.72
27 R2 Cal for yield,0.605,0.575,0.22646349437760224,0.3925,0.725,0.33249999999999996,8,0.37,0.8
28 pBIAS Cal for yield,-21.735,-30.962142857142858,41.20038469249436,-47.5,-7.0,40.5,7,-59.0,2.0
29 RSR Cal for yield,0.3815,0.3815,,0.3815,0.3815,0.0,1,0.3815,0.3815
30 KGE Cal for yield,,,,,,,0,,
31 NSE Cal for conc,0.535,0.5593125,0.2278687557278455,0.425,0.76375,0.33875000000000005,24,0.439875,0.76
